doy,Average_Distance,Westward_Displacement
121,16427.61739663336,-3709.702721907408
122,10727.478674284139,1396.1629958108533
123,7505.06979274948,-1962.6420292090625
124,6485.990202222582,-1301.3604319824371
125,4191.0005208742605,4479.876492611715
126,3862.1390552896387,3206.770316008129
127,4928.209247445536,4788.3752292749705
128,5555.6904284195525,4683.44932484068
129,10283.537922566244,3125.7554090366466
130,10830.2661150305,-12.280130623374134
131,8501.357568998728,4682.361233096919
132,12074.724930914377,7424.166599674616
133,16019.062203931086,-3882.0218714757357
134,11738.043169822284,-5473.34994908853
135,4075.958278604769,-1061.7129317333456
136,8701.867001583963,7366.617422306794
137,8938.099513519033,8271.750424388098
138,3643.4491715796303,1660.1528262437787
139,5268.1159182030715,-1237.8635789577384
140,4949.496866923133,-3298.813103854307
141,4068.7047399005496,-849.9378236950142
142,4575.598646835694,1807.6592225888744
143,4193.101452833414,3989.39082655916
144,6440.7128484819095,6146.910319315502
145,9106.460521386838,-618.4560854188167
146,8690.39489704093,-4242.018343977281
147,7463.592185920506,1650.8075071270578
148,6685.18318851121,-1125.3822490954772
149,5753.317262466678,-1951.6998693845235
150,7561.952622164652,5450.326737845666
151,8577.137816614362,18571.814656178467
152,15257.030447963594,5950.199602869572
153,15451.839918983133,-5004.957414048724
154,7411.749770364945,7052.897131888894
155,6369.936559724457,2728.2814335608855
156,4849.877957946598,587.9039547295542
157,4180.1857130031185,3300.5380573214497
158,4241.953875413397,2631.936322365538
159,4533.674104486696,3475.447461389471
160,4504.724250297286,2056.0008079906693
161,7745.387128675577,6559.781437468133
162,10357.80748575832,11662.792032677447
163,6528.245216608011,4921.77719619032
164,3690.1063791048387,515.0926569462172
165,3701.664606674577,-2656.9964195234934
166,4407.600138950894,5079.394541523769
167,12496.495783794991,16837.489517572976
168,15933.963164601046,15523.117652420944
169,15919.244270159135,-7896.940952135425
170,12563.620253501498,-17850.979613012227
171,7239.820164900802,1588.9613825810375
172,8771.551875282872,9970.65172205813
173,8320.299408174713,8373.416229491122
174,11644.297938372609,15036.019416693773
175,9563.685340843445,7907.815268222999
176,4665.2891191097915,-4984.216178591887
177,5749.378804122443,4838.721692166349
178,6305.17522756358,10864.288139509328
179,7695.704147520992,6965.305520911643
180,11711.56345866186,10054.337825576717
181,12289.435615602533,12365.497772100964
182,8506.919319210494,-54.086382117064204
183,9275.432725953067,-2648.444314141292
184,9666.654818004063,4863.979553715442
185,10226.163941387505,19954.43085885141
186,13343.11162113447,13503.05710566009
187,15223.065902386577,9846.51407111244
188,12490.249024206427,15041.029396736063
189,8633.79730263772,807.3046205727733
190,7951.392619700686,4190.499108233198
191,7252.166144051047,8412.043594531075
192,7853.400809731083,5032.327783829474
193,7724.714554612237,-4440.445319053135
194,7015.0138987944465,-8023.387062320951
