Station,OWD,Distance_from_ice_edge_km,Btm_depth_m
100.0,12,47.84509116032304,371.0
101.0,12,47.62061926317653,369.0
102.0,12,34.42754678667173,362.52795
103.0,11,36.4787433663896,368.0
104.0,3,14.576289515948604,323.0
105.0,0,-1.2019129189958848,349.0
106.0,-14,-13.839372551380949,321.0
107.0,-19,-29.916866536221264,385.7686
108.0,-22,-34.83358212762276,621.0
109.0,-23,-48.268708951705946,1300.0
110.0,-25,-61.04898812476994,1456.5441
111.0,-25,-75.50473903736228,1591.0
112.0,-25,-84.76655108316284,1649.0
113.0,-30,-95.05150191897431,1691.0
114.0,-28,-102.5934274604621,1721.0
115.0,-27,-113.08217858968757,1727.3611
200.0,-23,-64.41561508337153,1446.0
201.0,-21,-57.545555316826956,1349.9208
202.0,-20,-29.163938664817405,994.0
203.0,-17,-29.19112570506666,680.0
204.0,-14,-21.94644038107448,526.34247
205.0,-7,-25.734291838560914,354.0
206.0,-3,-17.088274088866438,332.0
207.0,2,-7.918227416367092,321.74915
208.0,7,1.3087886908184043,323.0
209.0,10,9.905925681044206,305.0
210.0,15,19.08552444538116,282.0
211.0,17,40.388571626695956,292.0
300.0,26,74.39370242072383,196.66068
301.0,24,67.92064507562462,224.0
302.0,19,58.49191286168695,232.0
303.0,18,48.78579058161799,271.0
304.0,18,42.13679772051349,296.0
305.0,15,32.43056980882302,299.0
306.0,10,23.256576249645146,307.0
307.0,7,13.557427169080734,311.0
308.0,3,-2.535678312671592,325.0
309.0,2,0.8906803603011375,344.3326
310.0,-4,-18.073733633446878,621.0
311.0,-9,-30.467232959725973,928.0
312.0,-10,-39.83384853046741,1437.6772
313.0,-15,-46.21044939134351,1496.0
314.0,-15,-53.092968485124096,1594.0
315.0,-16,-59.29238274260453,1627.0
316.0,-15,-71.84861883284582,1825.0
317.0,-16,-81.30278495456263,1726.0
318.0,-15,-90.60322313251736,1761.285
319.0,-14,-100.94921640267798,1819.0
320.0,-14,-107.88181077694314,1847.0
321.0,-17,-119.02419233281341,1839.0
322.0,-18,-126.36022104593222,1856.0
323.0,-24,-136.3758090557419,1880.0
324.0,-23,-145.22396274184308,1891.8354
325.0,-25,-152.38567436426308,1885.0
400.0,-27,-155.81305014505614,1244.0
401.0,-23,-142.84396842417604,1588.0
402.0,-23,-133.94209394312838,1657.0
403.0,-18,-125.69324967956344,1673.4573
404.0,-13,-112.95894406544923,1682.0
405.0,-13,-112.38860757566005,1660.0
406.0,-15,-103.92158142123965,1978.0
407.0,-17,-91.89901950344634,1601.0
408.0,-18,-83.8814801061135,1534.0
409.0,-17,-73.37191277587321,1403.3843
410.0,-12,-60.664059926248,1052.0
411.0,-8,-51.800508410902424,507.0
412.0,-8,-45.56498318735965,303.0
413.0,-6,-37.46072480332372,274.83685
414.0,-3,-27.14534248418678,273.0
415.0,5,-20.51125696972599,402.0
416.0,13,-5.970072037660389,400.0
417.0,21,20.372775942311822,384.0
418.0,21,6.802488844826709,381.63687
419.0,28,33.902727886794835,330.0
420.0,29,46.06245206898907,260.0
500.0,39,91.60020315568954,186.0
501.0,30,82.60651384080485,249.0
502.0,27,81.57316054033657,267.0
503.0,26,73.3471036311144,296.0
504.0,23,61.225819129159646,330.0
505.0,21,54.38794950032877,339.0
506.0,17,43.234217160390614,313.0
506.5,10,35.168243591439065,286.0
507.0,3,32.921722104241,293.0
508.0,2,21.213880211869512,339.0
509.0,2,13.559600396507534,391.0
510.0,2,5.90712270184235,459.0
511.0,2,-3.2339264461733563,480.0
512.0,2,-6.8900523806742,542.51874
513.0,-1,-12.572894170243673,918.891
514.0,-2,-14.33260556510855,1247.0
515.0,-2,-25.830164816653372,1470.0
516.0,-2,-35.10340698268164,1686.0
517.0,-3,-45.572496036031396,1856.0
518.0,-4,-51.75023414372841,1961.0
519.0,-3,-57.17800445460829,2001.9996
521.0,-9,-60.91924687918802,2029.0
600.0,-13,-75.74494870789069,2107.2876
601.0,-9,-39.10383995535027,2120.0
602.0,-5,-31.771805454802415,2115.0
603.0,-2,-20.739186805135418,2216.0
604.0,-1,-12.687416447453394,2099.0
604.5,2,16.067661450067796,2061.4631
605.0,-1,-4.188466024965258,2027.7095
606.0,1,8.19095651466074,1930.0
607.0,6,37.95262150295216,1777.0
608.0,8,60.57037511149744,1559.0
609.0,7,68.5529533851078,1166.0
610.0,7,64.83481961712083,840.0
611.0,9,76.87763929932203,733.0
612.0,9,85.27153932597216,664.0
613.0,9,93.54252712693227,657.0
614.0,11,105.9407927949451,669.0
615.0,13,114.74435025803497,592.50525
616.0,17,139.059414789493,568.0
617.0,19,147.4768259036438,528.0
618.0,26,159.87274818745368,498.0
700.0,32,148.11709976287946,285.0
701.0,29,136.63426651185472,284.0
702.0,28,130.90306371802336,308.0
703.0,20,107.34826076823808,523.45996
704.0,16,113.7905970997807,1017.0
705.0,15,103.69033485171155,1215.0
707.0,9,94.21113628319794,1419.1024
708.0,7,76.47084814705055,1542.0
709.0,6,69.37222719304413,1638.0
710.0,6,58.69210239926372,1697.0
711.0,6,50.973936352558184,1785.0
712.0,7,38.329284240909374,1825.0
713.0,5,41.84691446789875,1892.1041
714.0,6,20.24917322123663,1930.0
715.0,7,9.775432296925652,1940.0
716.0,3,-2.3627351635211666,1959.0
717.0,2,-12.82486542537649,1970.0
718.0,-1,-22.60712761094691,1974.0
719.0,-5,-34.72793545393505,1949.4163
